1446051179843, BLACK
1446051179844, BLACK
1446051179846, BLACK
1446051179847, BLACK
1446051179848, BLACK
1446051179854, BLACK
1446051179855, BLACK
1446051179856, BLACK
1446051179857, BLACK
1446051179858, BLACK
1446051179859, BLACK
1446051179860, BLACK
1446051179861, BLACK
1446051179862, BLACK
1446051179874, BLACK
1446051179875, BLACK
1446051180471, WHITE
1446051180493, WHITE
1446051180499, WHITE
1446051180514, BLACK
1446051180516, BLACK
1446051180517, BLACK
1446051180518, BLACK
1446051180519, BLACK
1446051180520, BLACK
1446051180521, BLACK
1446051180522, BLACK
1446051180529, BLACK
1446051180547, WHITE
1446051180548, WHITE
1446051180549, WHITE
1446051180550, WHITE
1446051180551, WHITE
1446051180552, WHITE
1446051180565, WHITE
1446051180566, WHITE
1446051180567, WHITE
1446051180568, WHITE
1446051180569, WHITE
1446051180570, WHITE
1446051180571, WHITE
1446051180572, WHITE
1446051180583, BLACK
1446051180584, BLACK
1446051180585, BLACK
1446051180586, BLACK
1446051180587, BLACK
1446051180588, BLACK
1446051180589, BLACK
1446051180593, BLACK
1446051180613, BLACK
1446051180615, BLACK
1446051180616, WHITE
1446051180617, WHITE
1446051180618, WHITE
1446051180619, WHITE
1446051180620, WHITE
1446051180621, WHITE
1446051180622, WHITE
1446051180630, WHITE
1446051180631, WHITE
1446051180632, WHITE
1446051180643, WHITE
1446051180645, WHITE
1446051180646, WHITE
1446051180647, WHITE
1446051180648, WHITE
1446051180649, WHITE
1446051180650, WHITE
1446051180651, WHITE
1446051180652, BLACK
1446051180663, BLACK
1446051180664, BLACK
1446051180666, BLACK
1446051180667, BLACK
1446051180668, BLACK
1446051180669, BLACK
1446051180670, BLACK
1446051180671, BLACK
1446051180672, BLACK
1446051180683, BLACK
1446051180684, BLACK
1446051180685, BLACK
1446051180686, BLACK
1446051180693, WHITE
1446051180695, WHITE
1446051180696, WHITE
1446051180697, WHITE
1446051180698, WHITE
1446051180699, WHITE
1446051180700, WHITE
1446051180701, WHITE
1446051180702, WHITE
1446051180713, WHITE
1446051180715, WHITE
1446051180716, WHITE
1446051180717, WHITE
1446051180718, WHITE
1446051180719, WHITE
1446051180720, WHITE
1446051180721, WHITE
1446051180722, WHITE
1446051180731, BLACK
1446051180732, BLACK
1446051180744, BLACK
1446051180745, BLACK
1446051180746, BLACK
1446051180748, BLACK
1446051180749, BLACK
1446051180750, BLACK
1446051180764, WHITE
1446051180765, WHITE
1446051180766, WHITE
1446051180767, WHITE
1446051180768, WHITE
1446051180769, WHITE
1446051180770, WHITE
1446051180771, WHITE
1446051180781, WHITE
1446051180804, BLACK
1446051180805, BLACK
1446051180806, BLACK
1446051180807, BLACK
1446051180808, BLACK
1446051180809, BLACK
1446051180810, BLACK
1446051180811, BLACK
1446051180812, BLACK
1446051180826, BLACK
1446051180834, WHITE
1446051180835, WHITE
1446051180836, WHITE
1446051180837, WHITE
1446051180838, WHITE
1446051180839, WHITE
1446051180840, WHITE
1446051180841, WHITE
1446051180842, WHITE
1446051180863, BLACK
1446051180865, BLACK
1446051180866, BLACK
1446051180867, BLACK
1446051180868, BLACK
1446051180869, BLACK
1446051180870, BLACK
1446051180871, BLACK
1446051180872, BLACK
1446051180884, BLACK
1446051180885, BLACK
1446051180886, BLACK
1446051180887, BLACK
1446051180888, BLACK
1446051180903, WHITE
1446051180914, WHITE
1446051180915, WHITE
1446051180916, WHITE
1446051180917, WHITE
1446051180918, WHITE
1446051180919, WHITE
1446051180920, WHITE
1446051180921, WHITE
1446051180922, WHITE
1446051180933, WHITE
1446051180935, WHITE
1446051180936, BLACK
1446051180937, BLACK
1446051180938, BLACK
1446051180939, BLACK
